cache_type,alphabet_size,cache_size,cache_ratio,runtime_ms,page_faults,hit_rate,memory_bytes
LRU,10,5,0.5,1.1519328691065311,480,0.952,624
LFU,10,5,0.5,4.221143200993538,493,0.9507,1448
LRU,10,10,1.0,0.8848863071762025,10,0.999,784
LFU,10,10,1.0,4.274951294064522,10,0.999,912
LRU,10,20,2.0,0.8660272578708827,10,0.999,784
LFU,10,20,2.0,4.261335940100253,10,0.999,912
LRU,10,50,5.0,0.875473371706903,10,0.999,784
LFU,10,50,5.0,4.126265179365873,10,0.999,912
LRU,10,100,10.0,0.870424963068217,10,0.999,784
LFU,10,100,10.0,4.11468354286626,10,0.999,912
LRU,10,200,20.0,0.8736344752833247,10,0.999,784
LFU,10,200,20.0,4.196789348497987,10,0.999,912
LRU,20,5,0.25,1.292585104238242,1399,0.8601,624
LFU,20,5,0.25,4.379838996101171,3553,0.6447,912
LRU,20,10,0.5,1.2882215669378638,987,0.9013,1104
LFU,20,10,0.5,4.23372519435361,1855,0.8145,1640
LRU,20,20,1.0,0.9796944796107709,20,0.998,1424
LFU,20,20,1.0,3.982374968472868,20,0.998,1640
LRU,20,50,2.5,0.9932374814525247,20,0.998,1424
LFU,20,50,2.5,3.9549575885757804,20,0.998,1640
LRU,20,100,5.0,0.980299199000001,20,0.998,1424
LFU,20,100,5.0,3.9273956208489835,20,0.998,1640
LRU,20,200,10.0,0.9731474565342069,20,0.998,1424
LFU,20,200,10.0,3.9259314071387053,20,0.998,1640
LRU,50,5,0.1,1.6698645194992423,3342,0.6658,624
LFU,50,5,0.1,4.292695259209722,7405,0.25949999999999995,912
LRU,50,10,0.2,1.6255289665423334,3013,0.6987,1104
LFU,50,10,0.2,4.160412296187133,6371,0.3629,1640
LRU,50,20,0.4,1.4863000251352787,2233,0.7767,2048
LFU,50,20,0.4,4.053364391438663,4529,0.5470999999999999,3104
LRU,50,50,1.0,0.9914146503433585,50,0.995,4272
LFU,50,50,1.0,3.477189689874649,50,0.995,6280
LRU,50,100,2.0,0.9653886081650853,50,0.995,4272
LFU,50,100,2.0,3.379464615136385,50,0.995,3856
LRU,50,200,4.0,0.9584982763044536,50,0.995,4272
LFU,50,200,4.0,3.424348251428455,50,0.995,3856
LRU,100,5,0.05,2.2127090487629175,6457,0.35429999999999995,624
LFU,100,5,0.05,4.100324760656804,8735,0.12649999999999995,912
LRU,100,10,0.1,1.9264754955656826,4934,0.5065999999999999,1104
LFU,100,10,0.1,4.154915572144091,8194,0.18059999999999998,1640
LRU,100,20,0.2,1.8434172961860895,4373,0.5627,2048
LFU,100,20,0.2,4.117798642255366,7126,0.2874,3104
LRU,100,50,0.5,1.50006462354213,2721,0.7279,7040
LFU,100,50,0.5,3.730759082827717,4236,0.5764,5600
LRU,100,100,1.0,1.0011876001954079,100,0.99,8640
LFU,100,100,1.0,3.0642356141470373,100,0.99,8024
LRU,100,200,2.0,0.9633402805775404,100,0.99,8640
LFU,100,200,2.0,2.9974945937283337,100,0.99,8024
